"brand","model","referenceNumber","caseSize"
"Omega","Constellation","1212.10.00","27.5 MM"
"Omega","Constellation","1552.40.00","35.5 MM"
"Omega","Dynamic","ST 135.033","41 MM"
"Omega","Constellation Mini","1267.75.00","22.5 MM"
"Omega","Constellation Mini","1262.75.00","22.5 MM"
"Omega","Constellation Iris","1160.60.00","22.5 MM"
"Omega","Seamaster 300m","2636.50.91","41.5 MM"
"Omega","Speedmaster 57","331.10.42.51.01.001","Automatic"
"Omega","Planet Ocean","2200.50.00","45.5 MM"
"Omega","Speedmaster X-33","3290.50.00","42 MM"
